StichtagDatJahr,HalterId,AlterV10Cd,AlterV10Lang,AlterV10Sort,SexCd,SexLang,SexSort,KreisCd,KreisLang,KreisSort,QuarCd,QuarLang,QuarSort,Rasse1Text,Rasse2Text,RasseMischlingCd,RasseMischlingLang,RasseMischlingSort,RassentypCd,RassentypLang,RassentypSort,GebDatHundJahr,AlterVHundCd,AlterVHundLang,AlterVHundSort,SexHundCd,SexHundLang,SexHundSort,HundefarbeText,AnzHunde
2021,6130,60,60- bis 69-Jährige,7,2,weiblich,2,10,Kreis 10,10,101,Höngg,101,Unbekannt,Unbekannt,4,"Mischling, beide Rassen unbekannt",4,I,Rassentypenliste I,2,2017,3,3-Jährige,3,1,männlich,1,schwarz,1
2021,6469,50,50- bis 59-Jährige,6,1,männlich,1,11,Kreis 11,11,111,Affoltern,111,Mops,,1,Rassehund,1,K,Kleinwüchsig,1,2011,9,9-Jährige,9,1,männlich,1,beige,1
2021,6594,50,50- bis 59-Jährige,6,1,männlich,1,7,Kreis 7,7,72,Hottingen,72,Staffordshire Bullterrier,,1,Rassehund,1,II,Rassentypenliste II,3,2005,15,15-Jährige,15,2,weiblich,2,mahagoni/weiss,1
2021,6600,60,60- bis 69-Jährige,7,1,männlich,1,6,Kreis 6,6,63,Oberstrass,63,Shetland Sheepdog,,1,Rassehund,1,K,Kleinwüchsig,1,2012,8,8-Jährige,8,2,weiblich,2,tricolor,1
2021,6617,60,60- bis 69-Jährige,7,2,weiblich,2,12,Kreis 12,12,122,Schwamendingen-Mitte,122,Grosspudel,,1,Rassehund,1,I,Rassentypenliste I,2,2019,1,1-Jährige,1,2,weiblich,2,weiss,1
2021,6640,60,60- bis 69-Jährige,7,1,männlich,1,8,Kreis 8,8,82,Mühlebach,82,Englische Bulldogge,,1,Rassehund,1,I,Rassentypenliste I,2,2011,9,9-Jährige,9,1,männlich,1,braun/weiss,1
2021,12371,60,60- bis 69-Jährige,7,2,weiblich,2,2,Kreis 2,2,23,Leimbach,23,Dachshund,,1,Rassehund,1,K,Kleinwüchsig,1,2020,0,0-Jährige,0,1,männlich,1,rotbraun,1
2021,12409,70,70- bis 79-Jährige,8,1,männlich,1,9,Kreis 9,9,91,Albisrieden,91,Unbekannt,Unbekannt,4,"Mischling, beide Rassen unbekannt",4,K,Kleinwüchsig,1,2008,12,12-Jährige,12,2,weiblich,2,weiss/schwarz/braun,1
2021,14387,70,70- bis 79-Jährige,8,1,männlich,1,5,Kreis 5,5,52,Escher Wyss,52,Zwergpinscher,,1,Rassehund,1,K,Kleinwüchsig,1,2015,5,5-Jährige,5,1,männlich,1,schwarz/braun,1
2021,14550,80,80- bis 89-Jährige,9,1,männlich,1,12,Kreis 12,12,122,Schwamendingen-Mitte,122,Biewer Yorkshire Terrier,,1,Rassehund,1,K,Kleinwüchsig,1,2015,5,5-Jährige,5,2,weiblich,2,tricolor,1
2021,15456,40,40- bis 49-Jährige,5,1,männlich,1,2,Kreis 2,2,21,Wollishofen,21,Chihuahua,,1,Rassehund,1,K,Kleinwüchsig,1,2010,10,10-Jährige,10,1,männlich,1,schwarz,1
